date,country,position,streams,artists,artist_genres,duration,explicit,name
2015/09/24,hn,18,8487,Maroon 5,pop,235493,True,Sugar
2021/06/03,ua,44,54374,Tiësto,"pop, big room, trance, tropical house, pop dance, dutch edm, house, slap house, dance pop, brostep, edm",164000,False,The Business
2018/12/27,lv,175,5571,Drake,"canadian pop, toronto rap, canadian hip hop, hip hop, rap",198960,True,God's Plan
2017/03/02,ar,139,111124,Callejeros,"rock en espanol, cumbia villera, argentine rock, latin alternative",289760,True,Creo
2014/11/16,fr,12,149961,Hozier,"irish singer-songwriter, pop",241688,False,Take Me To Church
2020/07/30,it,195,287876,Trevor Daniel,"pop, pop rap, melodic rap",159381,False,Falling
2020/08/06,sa,89,17429,Rajaa Belmir,moroccan pop,217258,False,Karari
2019/05/09,ar,131,166699,"Post Malone, Swae Lee","rap, trap, dfw rap, melodic rap",157560,False,Sunflower - Spider-Man: Into the Spider-Verse
2017/05/18,gb,129,392193,Imagine Dragons,"modern rock, rock",201240,False,Whatever It Takes
2021/04/01,cz,68,48058,DIVOKEJ BILL,"czech pop, czech rock, czech folk",163578,False,Plakala
2016/06/23,sg,13,123010,David Guetta,"pop, big room, pop dance, dance pop, edm",207272,False,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)
2020/12/17,do,190,12326,"Zion & Lennox, Myke Towers","latin hip hop, reggaeton, trap latino",191409,False,No Me Llama
2021/02/04,ua,191,14469,Korol i Shut,"classic russian rock, russian ska, russian rock, russian folk rock, russian metal, russian punk rock, horror punk, russian punk",257013,False,Проклятый старый дом
2017/05/25,lu,129,1883,"Hailee Steinfeld, Grey, Zedd","pop rap, pop, complextro, post-teen pop, pop dance, electro house, tropical house, electropop, dance pop, edm, german techno, pop edm, uk pop",181880,True,Starving
2015/10/08,py,27,6278,Lost Frequencies,"tropical house, belgian edm, pop dance, edm, pop",138842,False,Are You With Me - Radio Edit
2020/12/03,nz,9,197956,Pop Smoke,brooklyn drill,160000,True,What You Know Bout Love
2019/03/14,bo,101,13520,Danny Ocean,"pop venezolano, trap latino, reggaeton",208253,False,Epa Wei
2021/11/04,lt,54,14137,QV Trap,lithuanian pop,187153,False,Panama Ibiza
2019/04/11,global,21,15315855,"Pedro Capó, Farruko","trap latino, latin hip hop, reggaeton, latin pop, puerto rican pop",238200,False,Calma - Remix
2020/07/02,my,27,149966,Tate McRae,pop,169265,True,you broke me first
2018/03/08,mx,167,355002,Coldplay,"permanent wave, pop",309600,False,The Scientist
2023/04/06,pl,32,482734,Mata,"polish hip hop, polish trap",128641,True,333 km/h
2015/08/06,tw,114,15739,"Jidenna, Roman GianArthur",ghanaian hip hop,226000,True,Classic Man (feat. Roman GianArthur)
2022/10/27,ar,23,1256224,Maria Becerra,"pop argentino, latin pop",160482,False,OJALÁ
2022/05/26,pl,5,1476622,"Oki, Nolyrics Beats",polish hip hop,208676,True,Jeżyk!
2016/11/24,bg,36,3895,"Salvatore Ganacci, Alex Aris, Enya","moombahton, basshall, celtic, middle earth",201126,False,Dive (feat. Enya and Alex Aris)
2018/07/05,fr,189,214239,"DJ Kayz, RK","pop urbaine, francoton, rif, rap conscient, deep rai, french hip hop, rap francais",200348,False,Michto
2022/02/03,gt,44,91561,"Rvssian, Rauw Alejandro, Chris Brown","pop, dance pop, latin hip hop, reggaeton, puerto rican pop, reggaeton flow, trap latino, r&b",209883,True,Nostálgico
2022/09/29,do,142,20705,"Rema, Selena Gomez","pop, dance pop, nigerian pop, post-teen pop",239317,False,Calm Down (with Selena Gomez)
2017/12/07,uy,27,43324,"Jesse & Joy, Gente De Zona","latin hip hop, cubaton, latin arena pop, latin pop, mexican pop",183573,False,3 A.M.
2022/03/17,ae,192,9680,The Weeknd,"pop, canadian contemporary r&b, canadian pop",242253,True,The Hills
2016/06/30,ph,82,167493,Sarah Geronimo,opm,255608,False,"Maybe This Time - From ""Maybe This Time"""
2015/12/17,lu,3,5629,Justin Bieber,"pop, canadian pop",205680,False,What Do You Mean?
2014/01/26,se,26,340175,"Martin Garrix, Jay Hardway","pop edm, tropical house, dance pop, progressive house, electro house, progressive electro house, dutch edm, pop, pop dance, edm",202413,False,Wizard - Radio Edit
2021/08/26,ru,112,121747,Miyagi & Andy Panda,russian hip hop,176874,True,Там ревели горы
2019/11/21,dk,132,86405,"Ude Af Kontrol, Pattesutter","danish pop, dakke dak, danish hip hop",166015,True,næ
2020/06/18,fr,77,486153,Moha La Squale,"rap francais, pop urbaine, french hip hop",162175,True,Basta
2021/07/01,uy,180,12767,"KAROL G, Nicki Minaj","queens hip hop, pop, reggaeton, reggaeton colombiano, hip pop, dance pop, rap",200960,False,Tusa
2020/02/20,ae,186,5352,Bader AlShuaibi,"khaliji, gulf hip hop",208368,False,أنا وياه
2022/12/29,vn,2,525224,NewJeans,"k-pop, k-pop girl group",185506,False,Ditto
2020/10/08,pt,166,33235,"JP Saxe, Julia Michaels","neo mellow, pop, canadian contemporary r&b, alt z, post-teen pop, electropop, dance pop, uk pop",208687,False,If the World Was Ending (feat. Julia Michaels)
2020/11/12,ca,124,276144,Trevor Daniel,"pop, pop rap, melodic rap",159381,False,Falling
2020/09/17,pe,2,973516,KAROL G,"reggaeton colombiano, reggaeton",189653,False,"Ay, DiOs Mío!"
2021/05/13,ca,12,738693,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","uk drill, new york drill, brooklyn drill, uk hip hop, manchester hip hop, trap, nigerian pop, melodic drill, grime, afroswing, london rap, rap",278085,True,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
2016/09/08,de,76,343682,Tory Lanez,"pop rap, melodic rap, pop, canadian trap, toronto rap, r&b, canadian hip hop, trap, rap",228640,True,LUV
2016/10/27,lt,143,2043,"Clean Bandit, Louisa Johnson","pop, uk pop, uk dance, edm, post-teen pop, uk funky, pop dance, tropical house, dance pop",225914,False,Tears (feat. Louisa Johnson)
2021/06/10,gr,90,49017,The Weeknd,"canadian contemporary r&b, pop, canadian pop",200040,False,Blinding Lights
2018/04/12,id,111,93651,The Script,"pop, uk pop, celtic rock, neo mellow, pop rock",209346,True,Rain
2022/10/06,za,48,57224,The Weeknd,"canadian contemporary r&b, pop, canadian pop",260253,False,Die For You
2020/06/18,lv,49,10017,"Eminem, Juice WRLD","melodic rap, chicago rap, detroit hip hop, hip hop, rap",210800,True,Godzilla (feat. Juice WRLD)
2016/07/28,lt,35,10810,Timeflies,"pop rap, pop, indie pop rap, pop dance, dance pop, pop rock, tropical house, pop edm, post-teen pop",215160,True,Once In a While
2020/06/11,lu,30,7144,Jack Harlow,"kentucky hip hop, pop, deep underground hip hop, rap",139741,True,WHATS POPPIN
2015/11/26,be,185,10517,"Tori Kelly, Big Sean","pop rap, southern hip hop, pop, detroit hip hop, r&b, dance pop, trap, hip hop, rap",210606,False,Hollow
2016/02/04,mx,164,159907,"Zara Larsson, MNEK","swedish electropop, pop, scandipop, swedish pop, post-teen pop, pop dance, uk pop, electropop, uk dance, dance pop, uk contemporary r&b, tropical house, edm",213427,False,Never Forget You
2018/05/03,nz,94,60842,Lauv,"dance pop, pop, electropop",197436,False,I Like Me Better
2016/09/15,lu,108,1128,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton","pop rap, dance pop, seattle hip hop, pop",258342,False,Can't Hold Us (feat. Ray Dalton)
2020/06/04,ar,56,324958,"Alex Rose, Rafa Pabön","trap latino, reggaeton flow, reggaeton",259600,False,Jangueo
2016/03/17,us,134,882256,Young Thug,"pop rap, gangster rap, southern hip hop, melodic rap, atl trap, atl hip hop, trap, hip hop, rap",280831,True,Hercules
2023/02/23,il,10,149037,SZA,"pop, r&b",153946,False,Kill Bill
2022/08/04,za,151,31707,"Quavo, Takeoff","atl hip hop, southern hip hop, trap, rap, melodic rap",142657,True,HOTEL LOBBY (Unc & Phew)
2020/06/18,at,107,41530,"Dardan, Eno, Noah","german drill, german hip hop, albanian hip hop",183666,True,AVENTADOR
2021/03/04,eg,120,12351,Tones And I,"pop, australian pop",209754,False,Dance Monkey
2022/04/28,ar,40,750621,"Emilia, Rusherking","pop argentino, trap triste, trap argentino",164289,False,De Enero a Diciembre
2022/07/14,ro,183,21617,"B.U.G. Mafia, Mario V",romanian rap,218917,True,Hoteluri
2020/07/16,my,148,52353,BTS,"k-pop, k-pop boy group",180220,False,Filter
2022/05/12,cl,3,3316428,"Julianno Sosa, King Savagge","trap latino, reggaeton flow, urbano chileno, mambo chileno",200816,True,Cochinae
2018/04/05,de,129,377669,"RAF Camora, Bonez MC, Gzuz, Ufo361","hamburg hip hop, german hip hop, german cloud rap, deep german hip hop",267396,True,Waffen
2016/12/08,pa,158,4529,Shawn Mendes,"dance pop, viral pop, pop, canadian pop",206880,False,Stitches
2022/06/30,id,31,1162858,NCT DREAM,"k-pop, k-pop boy group",205133,False,Beatbox
2020/05/14,pl,105,158624,"SB Maffija, White 2115","polish trap, polish hip hop",137320,False,Gubię kroki
2022/11/10,sa,78,28048,NewJeans,"k-pop, k-pop girl group",179026,False,Hype Boy
2018/05/03,do,155,7692,Musicologo The Libro,"rap dominicano, dembow",196140,False,Bum Bam Ven
2018/12/27,pa,122,12053,"Rvssian, Farruko, J Balvin","latin hip hop, reggaeton, reggaeton flow, trap latino, reggaeton colombiano",164764,False,Ponle
2018/01/18,mt,172,1931,Snow Patrol,"permanent wave, irish rock, pop rock, neo mellow",267933,False,Chasing Cars
2017/10/12,tw,164,19619,Yvonne,"taiwan pop, mandopop",264360,False,放逐愛情
2018/09/27,no,184,68173,Julia Michaels,"pop, alt z, electropop, dance pop, post-teen pop",191813,False,Heaven
2020/09/17,jp,21,847523,Aimyon,"j-acoustic, j-pop",326866,False,ハルノヒ
2022/03/03,be,80,75415,Eminem,"hip hop, detroit hip hop, rap",322226,True,"Lose Yourself - From ""8 Mile"" Soundtrack"
2020/01/30,cr,95,33630,Lewis Capaldi,"pop, uk pop",182160,False,Someone You Loved
2019/03/07,ie,192,38225,Picture This,irish pop,210066,False,Take My Hand
2019/02/14,be,165,41314,"Seeb, Bastille","edm, pop, electro house, metropopolis, uk pop, pop rock, pop edm, modern rock, pop dance, dance pop, norwegian pop, tropical house",198074,False,Grip
2018/05/10,do,191,6312,"Jon Z, Noriel, Darkiel, Lyan, Messiah, Baby Rasta","trap dominicano, reggaeton, reggaeton flow, trap latino, latin hip hop",335736,True,"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]"
2021/07/29,sv,152,18797,Christian Nodal,"nueva musica mexicana, musica mexicana, ranchera, mariachi",156520,False,No Te Contaron Mal
2017/03/02,lv,65,6125,JP Cooper,"neo mellow, pop, dance pop, tropical house, uk pop",220290,False,September Song
